time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4808.733694	23.569189	0.003831	6.151778	129
4809.806232	19.675739	0.003810	5.164389	130
4810.806721	22.707794	0.003806	5.965959	131
4811.886829	20.399557	0.003816	5.345520	132
4812.884717	23.759834	0.003806	6.242112	133
4813.962994	19.498777	0.003835	5.084858	134
4814.967016	23.603617	0.003820	6.178156	135
4816.033573	20.620508	0.003818	5.400283	136
4817.036095	23.939390	0.003836	6.240955	137
4818.120137	20.888515	0.003813	5.478838	138
4819.110152	22.589724	0.003820	5.913281	139
4820.188163	22.327181	0.003821	5.843322	140
4821.193289	23.939053	0.003804	6.293752	141
4822.258701	21.874046	0.003812	5.737799	142
4823.287307	22.729223	0.003826	5.940688	143
4824.326248	22.323248	0.003817	5.849117	144
4825.362856	23.505285	0.003809	6.170367	145
4826.397345	22.023148	0.003825	5.757050	146
4827.435364	23.888220	0.003820	6.253216	147
4828.491384	20.489643	0.003824	5.357915	148
4829.497424	24.627600	0.003828	6.433629	149
4830.573963	21.127489	0.003819	5.531695	150
4831.576502	23.184069	0.003803	6.095645	151
4832.641070	22.202087	0.003813	5.823198	152
4833.665104	23.326647	0.003811	6.120269	153
4834.702966	21.984045	0.003810	5.769470	154
4835.741281	23.636019	0.003813	6.198716	155
4836.793299	21.234798	0.003830	5.544379	156
4837.806253	25.039665	0.003823	6.549737	157
4838.876661	21.034832	0.003815	5.513884	158
4839.878813	24.350943	0.003800	6.408283	159
4840.955447	22.170168	0.003828	5.790840	160
4841.957683	23.912580	0.003811	6.274075	161
4843.020800	22.744745	0.003817	5.959405	162
4844.043710	23.865444	0.003803	6.275760	163
4845.090955	22.802013	0.003813	5.980395	164
4846.122982	23.588850	0.003808	6.194177	165
4847.163136	23.123604	0.003822	6.049891	166
4848.199123	24.336308	0.003815	6.379910	167
4849.241281	22.559435	0.003826	5.896489	168
4850.275250	23.978706	0.003814	6.287390	169
4851.315281	22.770582	0.003808	5.979962	170
4852.351284	24.880838	0.003818	6.516001	171
4853.391340	23.139055	0.003807	6.078089	172
4854.427346	24.527170	0.003803	6.449531	173
4855.469121	22.570307	0.003805	5.931246	174
4856.505355	24.986355	0.003813	6.552227	175
4857.543498	23.584566	0.003817	6.179103	176
