time (s)	coil I (A)	last det (V)	int current (uC)
553.537908	0.185344	453.515625	-63.281250
553.539909	0.184910	2.034014	0.658455
554.585914	0.184962	160.644531	217.968750
554.587915	0.185595	2.041547	0.585197
555.615942	0.183196	452.734375	-65.234375
555.617944	0.182951	2.012461	0.805930
556.664024	0.186398	150.000000	237.597656
556.666026	0.185804	2.043843	0.620742
557.692023	0.184450	451.855469	-65.527344
557.694027	0.184420	2.028617	0.620419
558.736081	0.184657	159.570312	216.796875
558.738084	0.183985	2.023840	0.603553
559.768666	0.183554	451.367187	-67.285156
559.770667	0.183941	2.023353	0.632675
560.804716	0.185563	160.351562	217.285156
560.806718	0.184842	2.033261	0.625045
561.848767	0.185787	452.929687	-65.039062
561.850770	0.185047	2.035521	0.635440
562.882836	0.185093	155.664062	226.464844
562.884837	0.185076	2.035840	0.620179
563.924951	1.515561	454.589844	-64.453125
563.926952	0.185378	2.039154	0.637697
564.953935	0.183964	158.691406	219.726562
564.955936	0.183504	2.018549	0.800241
566.000445	0.185660	462.304687	-61.328125
566.002446	0.185170	2.036868	0.636917
567.034458	0.184569	160.351562	216.113281
567.036463	0.183952	2.023468	0.655842
568.073412	0.184511	462.109375	-61.523437
568.075413	0.184215	2.026366	0.667964
569.113927	0.184819	156.347656	226.367187
569.115930	0.184289	2.027181	0.596621
570.139985	0.184584	454.296875	-64.843750
570.141985	0.185032	2.035352	0.649337
571.194960	0.147973	158.105469	219.824219
571.196966	0.183539	2.018930	0.588896
572.219501	0.185427	454.687500	-63.769531
572.221504	0.184959	2.034546	0.957804
573.263514	0.180193	157.714844	220.019531
573.265514	0.186268	157.714844	220.019531
573.269513	0.185262	2.037887	0.635711
574.297542	0.184367	453.222656	-65.820312
574.299544	0.183752	2.021270	0.629772
575.333544	0.170102	158.593750	222.558594
575.335546	0.184610	158.593750	222.558594
575.337546	0.184035	2.024390	0.618375
576.379600	0.185963	458.007812	-62.402344
576.381600	0.185366	2.039021	0.629889
577.407575	0.185840	150.976562	238.281250
577.409575	0.185005	2.035051	0.635980
578.453597	0.177001	461.328125	-61.718750
578.455599	0.184631	461.328125	-61.718750
578.457598	0.184178	2.025958	0.648399
579.483635	0.185239	161.425781	215.820312
579.485637	0.184588	2.030469	0.610364
580.532630	0.185369	463.867187	-60.839844
580.534634	0.184949	2.034440	0.641452
581.564709	0.184492	160.156250	219.433594
581.566710	0.184085	2.024930	0.616351
582.603289	0.186137	466.308594	-59.375000
582.605292	0.185724	2.042965	0.662822
583.643352	0.184128	156.835937	227.832031
583.645355	0.183836	2.022192	0.592850
584.673914	0.186295	467.675781	-59.375000
584.675916	0.185448	2.039925	0.656689
585.715943	0.185975	159.179687	224.511719
585.717945	0.185188	2.037071	0.602569
586.747966	0.185961	467.187500	-59.765625
586.749968	0.185700	2.042699	0.660384
587.795998	0.184151	157.812500	226.953125
587.798000	0.183607	2.019675	0.604296
588.826070	0.185733	466.210937	-60.351562
588.830071	0.184946	2.034404	0.666489
589.868178	0.185761	158.300781	226.660156
589.870181	0.185026	2.035290	0.611803
590.900206	0.185866	467.773437	-58.984375
590.902207	0.185127	2.036398	0.663966
591.944249	0.182597	157.031250	228.027344
591.946250	0.185334	2.038676	0.600623
592.976298	0.184003	464.746094	-61.035156
592.980302	0.183360	2.016963	0.655554
594.020893	0.184016	163.085937	215.039062
594.022895	0.183652	2.020171	0.606666
595.054895	0.184989	467.578125	-59.667969
595.056900	0.184534	2.029876	0.671393
596.093423	0.184540	163.085937	215.136719
596.095423	0.184093	2.025028	1.007733
597.133417	0.184045	466.992187	-60.058594
597.135419	0.183740	2.021137	0.649425
598.165501	0.179808	154.882812	229.980469
598.167503	0.184786	154.882812	229.980469
598.169504	0.184332	2.027651	0.615342
599.211562	0.184527	466.308594	-60.058594
599.213564	0.184184	2.026029	0.655366
600.241596	0.185979	164.453125	208.496094
600.243597	0.184975	2.034723	0.624621
601.285622	0.186809	463.281250	-60.253906
601.287626	0.186216	2.048380	0.648955
602.313619	0.184731	162.988281	212.792969
602.315620	0.185200	2.037196	0.630998
603.360591	0.185553	457.910156	-64.648437
603.362593	0.185063	2.035698	0.638655
604.393162	0.186234	151.660156	235.839844
604.395162	0.185616	2.041778	0.674798
605.431202	0.186328	454.882812	-67.578125
605.433204	0.185524	2.040767	0.641690
606.473250	0.184706	162.109375	212.792969
606.475252	0.184025	2.024274	0.628219
607.502286	0.184613	457.324219	-64.160156
607.504289	0.188194	2.070137	0.659984
608.550863	0.187489	153.125000	231.542969
608.552863	0.186808	2.054885	0.618096
609.576955	0.184968	461.523437	-61.425781
609.578959	0.184213	2.026348	0.657654
610.625522	0.183593	158.886719	222.949219
610.627521	0.185466	2.040129	0.616390
611.655600	0.186388	468.847656	-58.007812
611.657599	0.185769	2.043461	0.676790
612.697632	0.185111	156.250000	227.929687
612.699635	0.184404	2.028449	0.610972
613.733685	0.184550	468.554687	-58.496094
613.735687	0.184001	2.024009	0.653504
614.769790	0.184800	154.199219	230.468750
614.771791	0.184239	2.026632	0.614171
615.815824	0.185800	467.578125	-57.910156
615.817823	0.185780	2.043577	0.654961
616.843812	0.185568	159.179687	218.750000
616.845814	0.185001	2.035007	0.626670
617.892388	0.184458	460.742187	-61.816406
617.894391	0.184105	2.025152	0.636766
618.918438	0.185951	151.855469	235.058594
618.920441	0.185226	2.037488	0.626089
619.964439	0.185994	460.253906	-62.109375
619.966441	0.186149	2.047635	0.646402
620.995010	0.184748	157.324219	223.046875
620.999010	0.184755	2.032304	0.637912
622.039031	0.185173	458.007812	-64.550781
622.041033	0.184610	2.030709	0.639867
623.071569	0.183966	158.593750	220.117187
623.073569	0.185569	2.041255	0.634692
624.111626	0.184865	459.667969	-63.476562
624.113628	0.185351	2.038862	0.645333
625.149708	0.184343	151.757812	233.691406
625.151710	0.184016	2.024177	0.635011
626.189750	0.188021	459.667969	-63.183594
626.193750	0.187497	2.062471	0.887745
627.225764	0.185582	156.933594	221.777344
627.227765	0.185000	2.034998	0.636758
628.261878	0.185167	459.765625	-63.378906
628.263880	0.184530	2.029831	0.650726
629.299865	0.186043	152.636719	231.347656
629.301875	0.185307	2.038374	0.641645
630.339888	0.185370	460.253906	-63.281250
630.341894	0.184796	2.032756	0.669814
631.375894	0.184785	160.644531	214.941406
631.377897	0.184365	2.028014	0.975091
632.414891	0.185793	458.593750	-64.453125
632.416894	0.185328	2.038605	0.650087
633.449460	0.185176	156.738281	224.609375
633.451462	0.184558	2.030141	0.737162
634.495477	0.184466	460.156250	-62.988281
634.497480	0.184110	2.025205	0.640878
635.524013	0.185068	155.761719	226.757812
635.526015	0.184573	2.030301	0.645774
636.570041	1.266308	462.109375	-60.839844
636.572043	0.185463	2.040094	0.654478
637.596984	0.185075	151.074219	236.621094
637.598985	0.185340	2.038738	0.638924
638.647017	0.184840	464.257812	-59.960937
638.649016	0.184479	2.029273	0.648791
639.673580	0.178196	151.171875	236.914062
639.675581	0.185154	151.171875	236.914062
639.677583	0.184647	2.031116	0.630632
640.719575	0.185156	469.238281	-57.910156
640.721581	0.184781	2.032596	0.663836
641.753625	0.184976	161.425781	216.308594
641.755627	0.184414	2.028555	0.640520
642.790612	0.184999	470.312500	-57.324219
642.792614	0.184383	2.028209	0.664765
643.832646	0.185287	150.390625	240.527344
643.834649	0.184857	2.033429	0.884476
644.864643	0.184757	470.312500	-56.250000
644.866644	0.184336	2.027695	0.666527
