num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3279	3708.960985	39.544566	-7.530566	0.669801	7.555783
3281	3711.049860	38.797079	-7.393024	0.670216	4.518368
3283	3713.123476	39.196764	-7.400935	0.677187	6.169800
3285	3715.195633	40.461392	-7.681719	0.657471	6.614597
3287	3717.275954	45.620031	8.242266	0.608203	4.427617
3289	3719.344535	45.816021	7.824542	0.606064	6.156493
3291	3721.437874	45.519664	7.368495	0.610843	4.850608
3293	3723.509816	38.939190	-7.193117	0.668878	5.401371
3295	3725.584794	46.155794	8.133129	0.608106	5.481085
3297	3727.658035	46.326270	7.359395	0.602843	5.428805
3299	3729.741390	39.032950	-7.006331	0.662595	6.100716
3301	3731.818114	47.077875	7.346766	0.614564	5.872849
3303	3733.892143	39.160390	-7.077447	0.658510	5.887701
3305	3735.966960	47.432665	7.449196	0.605680	5.220308
3307	3738.037982	47.726845	7.249602	0.602920	5.110430
3309	3740.124499	47.500568	7.331725	0.604713	4.903193
3311	3742.194457	40.169683	-9.539060	0.598913	6.351774
3313	3744.270291	42.967878	-6.853177	0.658372	5.158138
3315	3746.357052	48.019809	6.926428	0.599270	4.975395
3317	3748.430068	48.723065	7.020431	0.602819	6.377901
3319	3750.513144	41.009145	-6.321613	0.651016	4.669751
3321	3752.578900	40.492271	-6.242829	0.659464	6.010289
3323	3754.652141	41.370323	-8.966574	0.595837	5.076923
3325	3756.732096	42.446266	-6.395815	0.643353	5.747171
3327	3758.816551	42.202785	-6.269480	0.652180	5.971000
3329	3760.893791	40.674301	-7.605077	0.648948	5.171436
3331	3762.960317	43.573278	-6.161686	0.643735	6.409274
3333	3765.036249	49.414459	6.438883	0.609276	5.463986
3335	3767.114263	40.670478	-5.868349	0.653958	6.371542
3337	3769.199110	49.703935	7.270567	0.606087	5.660055
3339	3771.274840	41.504997	-8.652640	0.593193	5.601981
3341	3773.350546	45.452188	-5.427960	0.656787	5.767804
3343	3775.422727	43.425877	-5.690813	0.655655	6.106771
3345	3777.496873	44.007153	-5.772906	0.642293	5.768770
3347	3779.572725	50.553933	6.005757	0.598585	5.856288
3349	3781.649507	43.661208	-5.596594	0.653804	6.227048
3351	3783.728861	46.135008	-6.689685	0.662410	5.811839
3353	3785.807171	50.604622	5.783312	0.598521	6.367018
3355	3787.887353	50.406676	5.860045	0.604367	5.946946
3357	3789.963372	42.561714	-5.511468	0.647977	6.004048
3359	3792.039468	51.271331	5.992877	0.605189	6.005139
3361	3794.108700	51.798823	6.013694	0.596659	6.278984
3363	3796.182707	43.301551	-7.865729	0.601251	6.064206
3365	3798.262224	44.899310	-5.163271	0.635393	6.267740
3367	3800.345706	42.332414	-7.597766	0.597250	6.204505
3369	3802.421892	45.289213	-5.410248	0.633991	6.520389
3371	3804.495207	52.004393	6.115989	0.600056	6.238535
3373	3806.565639	43.605775	-7.506201	0.607805	6.235900
3375	3808.641857	45.476447	-4.985476	0.629879	6.196991
3377	3810.720058	52.615600	5.237796	0.590074	6.493576
3379	3812.800002	43.232080	-7.406209	0.593601	6.340859
3381	3814.878579	43.303363	-5.930786	0.652596	6.751971
3383	3816.956790	46.116962	-4.954226	0.630241	6.568911
3385	3819.033550	52.474935	5.387280	0.597530	6.488388
3387	3821.109472	43.996656	-4.800867	0.636856	6.266945
3389	3823.184223	44.444680	-7.159539	0.591306	6.720439
3391	3825.258582	48.341469	-5.351592	0.642585	6.571367
3393	3827.332048	53.664191	5.200551	0.594600	6.714073
3395	3829.404789	53.302626	5.592343	0.600019	6.516124
3397	3831.482984	43.494598	-4.369177	0.641400	6.599920
3399	3833.561652	53.192282	5.054367	0.594827	6.820019
3401	3835.643590	45.848645	-4.498907	0.638934	6.813984
3403	3837.722582	49.824009	-6.712695	0.642881	6.430877
3405	3839.796052	45.388651	-6.780334	0.595330	6.505415
3407	3841.865642	49.043167	-6.749249	0.648483	6.881840
3409	3843.940332	53.790078	4.771254	0.595039	6.857584
3411	3846.018599	46.147572	-4.184940	0.642297	6.733224
3413	3848.096754	49.739734	-5.627692	0.623229	6.597684
3415	3850.176939	46.484886	-4.227454	0.639607	6.829874
3417	3852.255091	48.814596	-2.320704	0.601009	6.837787
3419	3854.332309	45.159011	-4.252591	0.628139	6.831066
3421	3856.408700	54.495020	4.523015	0.589182	6.891291
3423	3858.485421	54.230043	5.583163	0.593764	6.954658
3425	3860.560717	46.818197	-4.004738	0.639321	6.979181
3427	3862.636831	46.683120	-3.991981	0.638162	6.875003
3429	3864.711525	51.607836	-5.657468	0.619115	6.811423
3431	3866.785276	55.143461	4.372216	0.586965	7.059109
3433	3868.859000	54.949361	4.626394	0.582278	6.942282
3435	3870.932465	46.242105	-5.921480	0.610045	6.941817
3437	3873.008327	46.906357	-3.793603	0.631955	7.131021
3439	3875.088233	49.433693	-4.485486	0.621621	7.215950
3441	3877.169623	45.797747	-3.909444	0.629171	7.058156
3443	3879.247651	46.017640	-3.704998	0.630025	7.204117
3445	3881.322688	46.275410	-5.526427	0.610206	7.324147
3447	3883.395626	48.612154	-3.817382	0.615831	7.264346
3449	3885.468764	56.232802	4.395355	0.581431	7.343400
3451	3887.543026	45.772019	-3.380998	0.626693	7.198733
3453	3889.618147	55.981687	4.252439	0.582401	7.228717
3455	3891.694239	45.717537	-3.341907	0.626478	7.228358
3457	3893.771688	45.833775	-3.345399	0.627691	7.180909
3459	3895.847645	47.953366	-3.495765	0.632354	7.240388
3461	3897.924431	51.146259	-5.469251	0.621097	7.009235
3463	3900.000835	56.404062	4.172974	0.585539	7.248643
3465	3902.075700	45.853039	-3.259617	0.625836	7.366594
3467	3904.152346	46.246542	-5.015849	0.609857	7.518053
3469	3906.228895	50.275478	-4.516951	0.607013	7.330535
3471	3908.307579	48.191517	-3.247020	0.632566	7.389574
3473	3910.387332	51.304208	-1.637780	0.580026	7.546333
3475	3912.465695	48.278109	-3.255017	0.627490	7.558806
3477	3914.543553	51.923767	-1.680110	0.587722	7.401554
3479	3916.618365	46.939982	-3.405682	0.616769	7.338360
3481	3918.691067	47.329203	-3.365517	0.620829	7.208471
3483	3920.763686	56.648889	3.712059	0.579625	7.452993
3485	3922.836723	46.475511	-4.656776	0.609499	7.401839
3487	3924.913950	49.721826	-3.239323	0.613008	7.734015
3489	3926.991890	57.094565	3.933206	0.579468	7.545994
3491	3929.068239	56.791967	3.589212	0.576433	7.668852
3493	3931.147215	47.779200	-4.563939	0.614613	7.635959
3495	3933.223866	49.462748	-3.120141	0.607828	7.409212
3497	3935.300137	57.238992	3.516200	0.577425	7.414117
3499	3937.376274	46.990302	-3.221341	0.610865	8.006622
3501	3939.451341	57.268927	3.806324	0.577177	7.468516
3503	3941.525746	46.710067	-3.163092	0.611297	7.757248
3505	3943.599984	47.316803	-2.730639	0.616174	7.386649
3507	3945.675556	57.957531	3.317176	0.572012	7.630139
3509	3947.752086	49.291933	-2.819859	0.623180	7.730601
3511	3949.830465	52.073017	-4.324976	0.605422	7.766909
3513	3951.910630	58.193444	3.902468	0.576035	7.882706
3515	3953.989614	47.421321	-4.330894	0.600130	7.645833
3517	3956.066888	53.161866	-1.774838	0.587025	7.587188
3519	3958.142268	58.133442	4.470330	0.574940	7.905343
3521	3960.217450	57.978558	3.392042	0.574320	7.693192
3523	3962.290457	57.660106	3.406060	0.573698	7.961656
3525	3964.364759	57.893915	3.792295	0.573512	7.733376
3527	3966.439328	58.121393	3.466970	0.573622	7.929741
3529	3968.515105	48.413205	-4.019782	0.610260	8.226628
3531	3970.590572	50.549250	-2.653231	0.601681	8.134487
3533	3972.665903	57.879673	3.206526	0.573963	7.801635
3535	3974.742032	57.947535	3.430469	0.573767	8.082263
3537	3976.818663	57.488527	3.057034	0.572930	7.760407
3539	3978.895738	48.268232	-2.367768	0.611779	8.017583
