crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	22.020676	1744	0.000000
281474976710655.000000	15.586632	1745	0.000000
281474976710655.000000	17.071005	1746	2128387456.000000
281474976710655.000000	18.654179	1747	2129380480.000000
281474976710655.000000	15.806493	1748	2130471552.000000
281474976710655.000000	12.384299	1749	2131448192.000000
281474976710655.000000	18.039967	1750	2132533248.000000
281474976710655.000000	18.368032	1751	2133513088.000000
281474976710655.000000	17.175568	1752	2134613120.000000
281474976710655.000000	13.252611	1753	2135584128.000000
281474976710655.000000	16.110176	1754	2136671616.000000
281474976710655.000000	18.221277	1755	2137650944.000000
281474976710655.000000	15.920328	1756	2138745600.000000
281474976710655.000000	16.024290	1757	2139720448.000000
281474976710655.000000	15.172434	1758	2140815488.000000
281474976710655.000000	14.286282	1759	2141787648.000000
281474976710655.000000	16.854036	1760	2142877824.000000
281474976710655.000000	17.306723	1761	2143855872.000000
281474976710655.000000	17.173658	1762	2144947200.000000
281474976710655.000000	15.950023	1763	2145933312.000000
281474976710655.000000	17.592388	1764	2147007360.000000
281474976710655.000000	16.612389	1765	2148000512.000000
281474976710655.000000	16.473347	1766	2149082624.000000
281474976710655.000000	16.240755	1767	2150062336.000000
281474976710655.000000	16.143518	1768	2151154432.000000
281474976710655.000000	16.251102	1769	2152130816.000000
281474976710655.000000	17.255112	1770	2153214464.000000
281474976710655.000000	16.523600	1771	2154209024.000000
281474976710655.000000	15.562305	1772	2155287040.000000
281474976710655.000000	15.733394	1773	2156264960.000000
281474976710655.000000	17.099670	1774	2157359104.000000
281474976710655.000000	16.721039	1775	2158339328.000000
281474976710655.000000	15.539681	1776	2159418880.000000
281474976710655.000000	15.025806	1777	2160412928.000000
281474976710655.000000	15.715917	1778	2161494272.000000
281474976710655.000000	17.140085	1779	2162469120.000000
281474976710655.000000	16.431004	1780	2163563008.000000
281474976710655.000000	15.200147	1781	2164548864.000000
281474976710655.000000	15.654980	1782	2165621760.000000
281474976710655.000000	16.354624	1783	2166614272.000000
281474976710655.000000	15.997968	1784	2167702528.000000
281474976710655.000000	16.889679	1785	2168675072.000000
281474976710655.000000	16.926214	1786	2169768704.000000
281474976710655.000000	15.768013	1787	2170750720.000000
281474976710655.000000	16.825430	1788	2171828480.000000
281474976710655.000000	15.947873	1789	2172822528.000000
281474976710655.000000	15.393560	1790	2173900544.000000
281474976710655.000000	15.433278	1791	2174884096.000000
281474976710655.000000	16.374268	1792	2175973120.000000
281474976710655.000000	15.942971	1793	2176950272.000000
281474976710655.000000	15.514415	1794	2178044672.000000
281474976710655.000000	15.490470	1795	2179016448.000000
281474976710655.000000	16.990742	1796	2180110336.000000
281474976710655.000000	15.927477	1797	2181086208.000000
281474976710655.000000	16.208250	1798	2182178560.000000
281474976710655.000000	16.010983	1799	2183153664.000000
281474976710655.000000	16.129259	1800	2184247552.000000
281474976710655.000000	15.345340	1801	2185222144.000000
281474976710655.000000	16.985723	1802	2186316032.000000
281474976710655.000000	15.985403	1803	2187289600.000000
281474976710655.000000	15.622828	1804	2188384256.000000
281474976710655.000000	15.882849	1805	2189360128.000000
281474976710655.000000	15.797334	1806	2190448896.000000
281474976710655.000000	15.811272	1807	2191432448.000000
281474976710655.000000	15.793921	1808	2192512768.000000
281474976710655.000000	16.485125	1809	2193504768.000000
281474976710655.000000	16.096022	1810	2194579200.000000
281474976710655.000000	15.863779	1811	2195569152.000000
281474976710655.000000	16.157482	1812	2196655104.000000
281474976710655.000000	16.401712	1813	2197630720.000000
281474976710655.000000	16.016323	1814	2198725376.000000
281474976710655.000000	16.423897	1815	2199702272.000000
281474976710655.000000	16.964033	1816	2200785408.000000
281474976710655.000000	15.672028	1817	2201780480.000000
281474976710655.000000	15.618303	1818	2202853376.000000
281474976710655.000000	16.892813	1819	2203838208.000000
281474976710655.000000	15.859529	1820	2204931072.000000
281474976710655.000000	16.265369	1821	2205904896.000000
281474976710655.000000	16.265623	1822	2206995456.000000
281474976710655.000000	16.396923	1823	2207979776.000000
281474976710655.000000	16.450537	1824	2209057536.000000
281474976710655.000000	15.448456	1825	2210050048.000000
281474976710655.000000	15.802023	1826	2211130112.000000
281474976710655.000000	16.519249	1827	2212109824.000000
281474976710655.000000	15.968202	1828	2213204224.000000
281474976710655.000000	15.453904	1829	2214178560.000000
281474976710655.000000	16.342844	1830	2215269120.000000
281474976710655.000000	16.224606	1831	2216250624.000000
281474976710655.000000	15.723468	1832	2217331712.000000
281474976710655.000000	15.726014	1833	2218324736.000000
281474976710655.000000	16.339418	1834	2219398400.000000
281474976710655.000000	15.872778	1835	2220391424.000000
281474976710655.000000	16.392653	1836	2221470208.000000
281474976710655.000000	16.066828	1837	2222457856.000000
281474976710655.000000	16.666283	1838	2223539200.000000
281474976710655.000000	16.541706	1839	2224524032.000000
281474976710655.000000	15.760302	1840	2225610496.000000
281474976710655.000000	15.558035	1841	2226591488.000000
281474976710655.000000	16.998699	1842	2227677184.000000
281474976710655.000000	16.246483	1843	2228660480.000000
281474976710655.000000	16.231314	1844	2229744896.000000
281474976710655.000000	16.468958	1845	2230730752.000000
281474976710655.000000	16.971672	1846	2231810304.000000
281474976710655.000000	14.944142	1847	2232802560.000000
281474976710655.000000	16.634069	1848	2233877504.000000
281474976710655.000000	15.646987	1849	2234870528.000000
281474976710655.000000	16.188850	1850	2235947520.000000
281474976710655.000000	16.596380	1851	2236935424.000000
281474976710655.000000	16.022034	1852	2238020608.000000
281474976710655.000000	16.905409	1853	2238999040.000000
281474976710655.000000	16.751183	1854	2240093696.000000
281474976710655.000000	15.971114	1855	2241066752.000000
281474976710655.000000	17.312292	1856	2242156032.000000
281474976710655.000000	16.183243	1857	2243140608.000000
281474976710655.000000	16.519464	1858	2244218880.000000
281474976710655.000000	16.043924	1859	2245212672.000000
281474976710655.000000	16.365639	1860	2246287872.000000
281474976710655.000000	16.676628	1861	2247276544.000000
281474976710655.000000	16.431808	1862	2248365312.000000
281474976710655.000000	16.072685	1863	2249339136.000000
281474976710655.000000	16.245373	1864	2250433536.000000
281474976710655.000000	15.990409	1865	2251409664.000000
281474976710655.000000	16.184662	1866	2252495360.000000
281474976710655.000000	15.720622	1867	2253484288.000000
281474976710655.000000	16.781544	1868	2254560256.000000
281474976710655.000000	15.734365	1869	2255553280.000000
281474976710655.000000	16.814810	1870	2256633088.000000
281474976710655.000000	16.085163	1871	2257617920.000000
281474976710655.000000	16.000233	1872	2258704640.000000
281474976710655.000000	15.899783	1873	2259681536.000000
281474976710655.000000	16.433666	1874	2260773632.000000
281474976710655.000000	15.718860	1875	2261749504.000000
281474976710655.000000	16.125420	1876	2262843392.000000
281474976710655.000000	15.718362	1877	2263817216.000000
281474976710655.000000	16.145700	1878	2264910592.000000
281474976710655.000000	16.438341	1879	2265888256.000000
281474976710655.000000	16.582281	1880	2266977280.000000
281474976710655.000000	15.970855	1881	2267955712.000000
281474976710655.000000	16.216276	1882	2269044992.000000
281474976710655.000000	16.131659	1883	2270025472.000000
281474976710655.000000	16.916571	1884	2271114496.000000
281474976710655.000000	15.637720	1885	2272092672.000000
281474976710655.000000	16.444946	1886	2273182976.000000
281474976710655.000000	16.076223	1887	2274159616.000000
281474976710655.000000	16.543945	1888	2275252224.000000
281474976710655.000000	16.258520	1889	2276227328.000000
281474976710655.000000	16.014570	1890	2277321728.000000
281474976710655.000000	16.138088	1891	2278295552.000000
281474976710655.000000	16.506083	1892	2279387648.000000
281474976710655.000000	16.640718	1893	2280366848.000000
281474976710655.000000	16.425797	1894	2281451520.000000
281474976710655.000000	15.671705	1895	2282439424.000000
281474976710655.000000	16.694014	1896	2283515648.000000
281474976710655.000000	15.920006	1897	2284509184.000000
281474976710655.000000	16.065111	1898	2285586688.000000
281474976710655.000000	16.165300	1899	2286574848.000000
281474976710655.000000	16.167562	1900	2287658752.000000
281474976710655.000000	16.534971	1901	2288637696.000000
281474976710655.000000	15.944814	1902	2289731072.000000
281474976710655.000000	15.534069	1903	2290705920.000000
281474976710655.000000	16.953152	1904	2291796736.000000
281474976710655.000000	16.614162	1905	2292777472.000000
281474976710655.000000	16.806696	1906	2293860864.000000
281474976710655.000000	15.842530	1907	2294851072.000000
281474976710655.000000	16.635746	1908	2295925504.000000
281474976710655.000000	15.759861	1909	2296919040.000000
281474976710655.000000	16.411707	1910	2297995264.000000
281474976710655.000000	15.201095	1911	2298984192.000000
281474976710655.000000	16.252214	1912	2300069120.000000
281474976710655.000000	16.063341	1913	2301048576.000000
281474976710655.000000	16.184464	1914	2302139648.000000
281474976710655.000000	16.555649	1915	2303115520.000000
281474976710655.000000	16.474409	1916	2304209408.000000
281474976710655.000000	16.187485	1917	2305183488.000000
281474976710655.000000	16.658628	1918	2306276608.000000
281474976710655.000000	16.565857	1919	2307252736.000000
281474976710655.000000	16.535574	1920	2308344576.000000
281474976710655.000000	15.908116	1921	2309320192.000000
281474976710655.000000	16.318336	1922	2310412800.000000
281474976710655.000000	16.161434	1923	2311390720.000000
281474976710655.000000	16.739374	1924	2312480768.000000
281474976710655.000000	16.739252	1925	2313456384.000000
281474976710655.000000	16.525053	1926	2314548992.000000
281474976710655.000000	16.765442	1927	2315526656.000000
281474976710655.000000	16.473188	1928	2316618496.000000
281474976710655.000000	16.659887	1929	2317593856.000000
281474976710655.000000	16.982355	1930	2318686720.000000
281474976710655.000000	16.272516	1931	2319663616.000000
281474976710655.000000	16.429470	1932	2320754688.000000
281474976710655.000000	15.624413	1933	2321730048.000000
281474976710655.000000	17.119322	1934	2322820608.000000
281474976710655.000000	15.877823	1935	2323801600.000000
281474976710655.000000	17.075603	1936	2324886528.000000
281474976710655.000000	15.542322	1937	2325873664.000000
281474976710655.000000	16.548910	1938	2326952448.000000
281474976710655.000000	15.914159	1939	2327943936.000000
281474976710655.000000	17.254017	1940	2329018624.000000
281474976710655.000000	15.932110	1941	2330012672.000000
281474976710655.000000	16.641413	1942	2331090432.000000
281474976710655.000000	15.945844	1943	2332076800.000000
281474976710655.000000	16.696281	1944	2333163008.000000
281474976710655.000000	16.513838	1945	2334140928.000000
281474976710655.000000	16.476170	1946	2335234304.000000
281474976710655.000000	16.536404	1947	2336207360.000000
281474976710655.000000	16.730688	1948	2337300992.000000
281474976710655.000000	16.398659	1949	2338277888.000000
281474976710655.000000	16.854527	1950	2339365376.000000
281474976710655.000000	15.506612	1951	2340350720.000000
281474976710655.000000	16.132402	1952	2341431040.000000
281474976710655.000000	15.823326	1953	2342422272.000000
281474976710655.000000	16.819092	1954	2343497472.000000
281474976710655.000000	15.478115	1955	2344491008.000000
281474976710655.000000	16.593374	1956	2345565184.000000
281474976710655.000000	15.990416	1957	2346557952.000000
281474976710655.000000	16.373894	1958	2347636224.000000
281474976710655.000000	16.100744	1959	2348624384.000000
281474976710655.000000	16.402819	1960	2349706240.000000
281474976710655.000000	16.099415	1961	2350691584.000000
281474976710655.000000	15.995796	1962	2351775488.000000
281474976710655.000000	16.134396	1963	2352758784.000000
281474976710655.000000	16.158010	1964	2353843968.000000
281474976710655.000000	16.102161	1965	2354828288.000000
281474976710655.000000	16.464966	1966	2355911680.000000
281474976710655.000000	16.033257	1967	2356896768.000000
281474976710655.000000	15.796859	1968	2357977856.000000
281474976710655.000000	15.923373	1969	2358966272.000000
281474976710655.000000	16.085981	1970	2360044288.000000
281474976710655.000000	16.139435	1971	2361035264.000000
281474976710655.000000	16.285551	1972	2362113280.000000
281474976710655.000000	16.079582	1973	2363105536.000000
281474976710655.000000	16.643997	1974	2364180736.000000
281474976710655.000000	16.531757	1975	2365172736.000000
281474976710655.000000	16.339355	1976	2366249728.000000
281474976710655.000000	16.315086	1977	2367240704.000000
281474976710655.000000	16.524029	1978	2368320256.000000
281474976710655.000000	15.988770	1979	2369304576.000000
281474976710655.000000	16.965662	1980	2370392064.000000
281474976710655.000000	16.438887	1981	2371370240.000000
281474976710655.000000	16.608763	1982	2372463104.000000
281474976710655.000000	16.452957	1983	2373436672.000000
281474976710655.000000	16.792425	1984	2374530816.000000
281474976710655.000000	16.510015	1985	2375507200.000000
281474976710655.000000	16.473625	1986	2376597760.000000
281474976710655.000000	15.921646	1987	2377578496.000000
281474976710655.000000	16.268030	1988	2378662400.000000
281474976710655.000000	16.380266	1989	2379650304.000000
281474976710655.000000	16.372025	1990	2380727296.000000
281474976710655.000000	16.110750	1991	2381720320.000000
281474976710655.000000	17.008722	1992	2382795776.000000
281474976710655.000000	16.082365	1993	2383788800.000000
281474976710655.000000	16.738644	1994	2384864512.000000
281474976710655.000000	15.999983	1995	2385855232.000000
281474976710655.000000	16.223110	1996	2386934016.000000
281474976710655.000000	16.103924	1997	2387920640.000000
281474976710655.000000	16.528257	1998	2389003520.000000
281474976710655.000000	15.922888	1999	2389988096.000000
281474976710655.000000	17.037979	2000	2391073024.000000
281474976710655.000000	15.694224	2001	2392055808.000000
281474976710655.000000	16.223314	2002	2393142016.000000
281474976710655.000000	16.011158	2003	2394124800.000000
281474976710655.000000	16.577820	2004	2395210752.000000
281474976710655.000000	15.938473	2005	2396192512.000000
281474976710655.000000	16.716925	2006	2397278720.000000
281474976710655.000000	16.263943	2007	2398262016.000000
281474976710655.000000	17.101006	2008	2399346176.000000
281474976710655.000000	16.514608	2009	2400331264.000000
281474976710655.000000	16.633154	2010	2401412096.000000
281474976710655.000000	16.335941	2011	2402401792.000000
281474976710655.000000	16.922585	2012	2403479808.000000
281474976710655.000000	16.389853	2013	2404470784.000000
281474976710655.000000	16.671618	2014	2405547008.000000
281474976710655.000000	16.096798	2015	2406540288.000000
281474976710655.000000	17.050465	2016	2407614720.000000
281474976710655.000000	15.983590	2017	2408607488.000000
281474976710655.000000	16.630281	2018	2409685248.000000
281474976710655.000000	16.546165	2019	2410672896.000000
281474976710655.000000	16.299562	2020	2411756544.000000
281474976710655.000000	16.238689	2021	2412737280.000000
281474976710655.000000	16.478672	2022	2413827072.000000
281474976710655.000000	16.244566	2023	2414803968.000000
281474976710655.000000	16.016489	2024	2415897088.000000
281474976710655.000000	16.702229	2025	2416872192.000000
281474976710655.000000	17.199827	2026	2417965568.000000
281474976710655.000000	16.072409	2027	2418942464.000000
281474976710655.000000	16.941311	2028	2420034304.000000
281474976710655.000000	16.228716	2029	2421012736.000000
281474976710655.000000	16.571625	2030	2422097664.000000
281474976710655.000000	15.924957	2031	2423083776.000000
281474976710655.000000	16.912134	2032	2424166400.000000
281474976710655.000000	16.408855	2033	2425152512.000000
281474976710655.000000	16.682310	2034	2426232064.000000
281474976710655.000000	15.960649	2035	2427222528.000000
281474976710655.000000	16.616117	2036	2428298240.000000
281474976710655.000000	15.950666	2037	2429289728.000000
281474976710655.000000	15.898559	2038	2430365952.000000
281474976710655.000000	16.231686	2039	2431360256.000000
281474976710655.000000	17.100279	2040	2432434176.000000
281474976710655.000000	16.019896	2041	2433427200.000000
281474976710655.000000	16.491089	2042	2434503168.000000
281474976710655.000000	15.617940	2043	2435496192.000000
281474976710655.000000	16.365522	2044	2436570624.000000
281474976710655.000000	15.718090	2045	2437563392.000000
281474976710655.000000	16.556206	2046	2438639104.000000
281474976710655.000000	16.774078	2047	2439632640.000000
281474976710655.000000	16.877304	2048	2440711936.000000
281474976710655.000000	16.045195	2049	2441701120.000000
281474976710655.000000	16.231108	2050	2442775296.000000
281474976710655.000000	16.296967	2051	2443768320.000000
281474976710655.000000	16.451721	2052	2444844032.000000
