time (s)	det(V)
2125.457633	-0.014718	
2125.459632	-0.017371	
2125.461632	-0.022570	
2125.465630	-0.018040	
2125.467632	-0.024055	
2125.469633	-0.020425	
2125.473631	-0.022918	
2125.475633	-0.015327	
2125.477632	-0.024613	
2125.479632	-0.023520	
2125.481633	-0.013592	
2125.485630	-0.027416	
2125.487632	-0.021745	
2125.489634	-0.024769	
2125.493633	-0.018729	
2125.495634	-0.019819	
2125.499630	-0.016865	
2125.501632	-0.015961	
2125.503633	-0.011124	
2125.507634	-0.017324	
2125.509634	-0.017414	
2125.511636	-0.021129	
2125.513634	-0.013098	
2125.515635	-0.012430	
2125.517634	-0.012109	
2125.519633	-0.008150	
2125.521634	-0.009309	
2125.523634	-0.014077	
2125.527634	-0.010135	
2125.529636	-0.016332	
2125.531633	-0.009429	
2125.533638	-0.019196	
2125.535636	-0.010326	
2125.537635	-0.011009	
2125.539634	-0.017220	
2125.541635	-0.011587	
2125.543634	-0.019513	
2125.547633	-0.024671	
2125.551633	-0.024552	
2125.553635	-0.020348	
2125.555634	-0.025182	
2125.557633	-0.028242	
2125.559635	-0.029936	
2125.563632	-0.036973	
2125.565634	-0.041913	
2125.567634	-0.045089	
2125.571633	-0.043186	
2125.573635	-0.050220	
2125.575635	-0.046045	
2125.577634	-0.055890	
2125.579635	-0.057598	
2125.581634	-0.054178	
2125.585633	-0.071048	
2125.589634	-0.066990	
2125.591634	-0.068066	
2125.593635	-0.073520	
2125.595634	-0.079301	
2125.597635	-0.079283	
2125.601632	-0.080585	
2125.603634	-0.084713	
2125.605635	-0.090123	
2125.609634	-0.091883	
2125.611633	-0.095794	
2125.613635	-0.094312	
2125.615634	-0.096240	
2125.617634	-0.097330	
2125.619635	-0.095018	
2125.623635	-0.101814	
2125.627636	-0.100697	
2125.629637	-0.105362	
2125.631637	-0.098583	
2125.633636	-0.112119	
2125.635636	-0.104021	
2125.637637	-0.104154	
2125.639636	-0.114625	
2125.641636	-0.109345	
2125.645636	-0.114346	
2125.647636	-0.116014	
2125.649637	-0.114394	
2125.651636	-0.116608	
2125.653636	-0.113788	
2125.655636	-0.119821	
2125.657639	-0.121516	
2125.661634	-0.125888	
2125.663637	-0.136049	
2125.665635	-0.139946	
2125.667636	-0.143818	
2125.669643	-0.140212	
2125.671651	-0.147081	
2125.673651	-0.156199	
2125.675651	-0.155525	
2125.677651	-0.167440	
2125.681649	-0.173834	
2125.683650	-0.195071	
2125.687651	-0.194999	
2125.689649	-0.211822	
2125.691651	-0.214958	
2125.693650	-0.228110	
2125.695650	-0.239739	
2125.699648	-0.247277	
2125.701650	-0.272700	
2125.703651	-0.279033	
2125.707651	-0.293800	
2125.709651	-0.313609	
2125.711650	-0.331078	
2125.713650	-0.341252	
2125.715650	-0.353523	
2125.719649	-0.366960	
2125.723649	-0.393597	
2125.725650	-0.413297	
2125.727650	-0.431544	
2125.729651	-0.440285	
2125.731651	-0.446295	
2125.733651	-0.469997	
2125.735650	-0.474259	
2125.737651	-0.490011	
2125.741658	-0.507877	
2125.745659	-0.530022	
2125.747660	-0.550044	
2125.749658	-0.560147	
2125.751658	-0.572849	
2125.753658	-0.577683	
2125.757657	-0.590419	
2125.759657	-0.615171	
2125.761658	-0.629106	
2125.765658	-0.635209	
2125.767658	-0.650698	
2125.769661	-0.654801	
2125.771659	-0.666234	
2125.773658	-0.680306	
2125.775659	-0.683250	
2125.777658	-0.703491	
2125.781671	-0.712919	
2125.783670	-0.736458	
2125.785669	-0.736506	
2125.787671	-0.747948	
2125.789671	-0.765097	
2125.791671	-0.773486	
2125.793670	-0.789785	
2125.795671	-0.808127	
2125.797671	-0.822744	
2125.801672	-0.838018	
2125.803672	-0.866767	
2125.805672	-0.885707	
2125.807672	-0.905272	
2125.809672	-0.924602	
2125.811673	-0.951078	
2125.813673	-0.968123	
2125.815671	-0.990958	
2125.819671	-1.015865	
2125.823672	-1.060648	
2125.825673	-1.101942	
2125.827674	-1.132804	
2125.829673	-1.158354	
2125.831672	-1.174453	
2125.835671	-1.209086	
2125.837672	-1.249108	
2125.839673	-1.273201	
2125.843672	-1.287505	
2125.845671	-1.330981	
2125.847676	-1.347479	
2125.849679	-1.363688	
2125.851678	-1.380756	
2125.855677	-1.389963	
2125.859676	-1.420265	
2125.861678	-1.438054	
2125.863679	-1.437552	
2125.865679	-1.439069	
2125.867678	-1.438786	
2125.869679	-1.431455	
2125.871677	-1.428724	
2125.875677	-1.429278	
2125.879676	-1.409656	
2125.881680	-1.370837	
2125.883679	-1.364003	
2125.885678	-1.337081	
2125.887678	-1.317738	
2125.889678	-1.300956	
2125.893676	-1.273537	
2125.895678	-1.243631	
2125.897678	-1.218865	
2125.901677	-1.193735	
2125.903679	-1.135477	
2125.905678	-1.113407	
2125.907679	-1.090319	
2125.909679	-1.065761	
2125.913676	-1.048657	
2125.915678	-1.002330	
2125.917679	-0.980217	
2125.921678	-0.954326	
2125.923679	-0.915423	
2125.925679	-0.888775	
2125.927678	-0.877833	
2125.929679	-0.858776	
2125.931678	-0.831404	
2125.935682	-0.827418	
2125.939681	-0.783792	
2125.941683	-0.744527	
2125.945680	-0.718346	
2125.947683	-0.698178	
2125.951681	-0.679088	
2125.953682	-0.641739	
2125.955682	-0.625935	
2125.959682	-0.605883	
2125.961683	-0.567176	
2125.963682	-0.539879	
2125.965682	-0.515610	
2125.967682	-0.490542	
2125.969682	-0.460746	
